iter	Passed	Remaining
0	89	89856
1	90	45177
2	91	30315
3	91	22845
4	92	18363
5	92	15380
6	93	13245
7	93	11643
8	94	10398
9	94	9400
10	95	8586
11	96	7907
12	96	7339
13	97	6853
14	97	6435
15	98	6058
16	99	5728
17	99	5432
18	100	5168
19	100	4931
20	101	4716
21	101	4520
22	102	4341
23	102	4178
24	103	4028
25	103	3889
26	104	3760
27	104	3640
28	105	3529
29	106	3431
30	106	3338
31	107	3250
32	108	3166
33	108	3089
34	109	3015
35	109	2944
36	110	2878
37	111	2813
38	111	2752
39	112	2693
40	112	2639
41	113	2588
42	114	2539
43	114	2491
44	115	2446
45	115	2403
46	116	2361
47	117	2321
48	117	2282
49	118	2245
50	118	2208
51	119	2173
52	119	2139
53	120	2107
54	120	2077
55	121	2048
56	122	2021
57	122	1993
58	123	1965
59	123	1939
60	124	1913
61	124	1888
62	125	1864
63	125	1841
64	126	1818
65	126	1796
66	127	1775
67	128	1754
68	128	1734
69	129	1715
70	129	1697
71	130	1679
72	130	1663
73	131	1646
74	132	1629
75	132	1613
76	133	1598
77	133	1582
78	134	1567
79	135	1553
80	135	1538
81	136	1526
82	136	1509
83	137	1497
84	137	1484
85	138	1471
86	138	1458
87	139	1446
88	140	1434
89	140	1423
90	141	1413
91	142	1402
92	142	1391
93	143	1381
94	143	1370
95	144	1361
96	145	1351
97	145	1342
98	146	1332
99	146	1322
100	147	1312
101	148	1303
102	148	1293
103	149	1284
104	149	1275
105	150	1265
106	150	1257
107	151	1248
108	151	1240
109	152	1233
110	153	1225
111	153	1217
112	154	1209
113	154	1201
114	155	1193
115	155	1186
116	156	1178
117	156	1171
118	157	1163
119	157	1156
120	158	1151
121	158	1144
122	159	1138
123	160	1131
124	160	1125
125	161	1119
126	161	1112
127	162	1106
128	163	1101
129	163	1095
130	164	1090
131	165	1085
132	165	1080
133	166	1074
134	166	1069
135	167	1064
136	168	1058
137	168	1053
138	169	1049
139	169	1044
140	170	1039
141	171	1034
142	171	1029
143	172	1024
144	172	1019
145	173	1014
146	174	1010
147	174	1005
148	175	1001
149	175	996
150	176	992
151	177	988
152	177	983
153	178	979
154	178	975
155	179	971
156	180	968
157	180	964
158	181	960
159	182	956
160	182	951
161	183	948
162	183	944
163	184	941
164	185	937
165	185	933
166	186	929
